gtin,honest_sign_name
04670332742051,"ЗИП-ХУДИ ""Full-Zip Hoodie Blank"" ЧЕРНЫЙ XL"
04670332741955,"ЗИП-ХУДИ ""SIGNATURE ZIP-HOODIE BLACK"" ЧЁРНЫЙ M"
04670332741962,"ЗИП-ХУДИ ""SIGNATURE ZIP-HOODIE BLACK"" ЧЕРНЫЙ S"
04670332741719,"ЗИП-ХУДИ ""SIGNATURE ZIP-HOODIE GREY"" СЕРЫЙ M"
04670332741733,"ЗИП-ХУДИ ""SIGNATURE ZIP-HOODIE GREY"" СЕРЫЙ XL"
04670332742921,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE CROP"" СЕРЫЙ L"
04670332742914,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE CROP"" СЕРЫЙ M"
04670332742907,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE CROP"" СЕРЫЙ S"
04670332742938,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE CROP"" СЕРЫЙ XL"
04670332742846,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE"" СЕРЫЙ L"
04670332742839,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE"" СЕРЫЙ M"
04670332742822,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE"" СЕРЫЙ S"
04670332742853,"ЗИП-ХУДИ ""SWEETHEART ZIP HOODIE"" СЕРЫЙ XL"
04670332742709,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE BLACK"" ЧЁРНЫЙ L"
04670332742723,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE BLACK"" ЧЁРНЫЙ S"
04670332742730,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE BLACK"" ЧЁРНЫЙ XL"
04670332742549,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE GREY"" СЕРЫЙ L"
04670332742570,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE GREY"" СЕРЫЙ XL"
04670332742426,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE LIGHTGREY"" СВЕТЛО-СЕРЫЙ L"
04670332742440,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE LIGHTGREY"" СВЕТЛО-СЕРЫЙ S"
04670332742457,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE LIGHTGREY"" СВЕТЛО-СЕРЫЙ XL"
04670332742587,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE WHITE"" БЕЛЫЙ L"
04670332742600,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE WHITE"" БЕЛЫЙ S"
04670332742617,"ЗИП-ХУДИ ""ZIP-HOODIE OVERSIZE WHITE"" БЕЛЫЙ XL"
04670332747414,"КУРТКА ""CORSET BOMBER"" ЧЕРНЫЙ M"
04670332747421,"КУРТКА ""CORSET BOMBER"" ЧЕРНЫЙ S"
04670332747438,"КУРТКА ""CORSET BOMBER"" ЧЕРНЫЙ XS"
04670332747445,"КУРТКА ""CORSET BOMBER"" ЧЕРНЫЙ XXS"
04670332747254,"КУРТКА ""HOMME LEATHER JACKET BLACK"" ЧЕРНЫЙ L"
04670332747247,"КУРТКА ""HOMME LEATHER JACKET BLACK"" ЧЕРНЫЙ M"
04670332747186,"КУРТКА ""HOMME LEATHER JACKET BLACK"" ЧЕРНЫЙ S"
04670332747261,"КУРТКА ""HOMME LEATHER JACKET BLACK"" ЧЕРНЫЙ XL"
04670332747179,"КУРТКА ""HOMME LEATHER JACKET BLACK"" ЧЕРНЫЙ XS"
04670332747308,"КУРТКА ""HOMME LEATHER JACKET GREEN"" ЗЕЛЕНЫЙ L"
